,0
390,Tsc1
391,6530402F18Rik
392,Mir133c
393,Urm1
394,Slc27a4
395,Zer1
396,Zdhhc12
397,Lrrc8a
398,Ccbl1
399,Dolpp1
400,Dolk
401,Ppp2r4
402,Usp20
403,BC005624
404,Ncs1
405,Prrc2b
406,Golga2
407,Slc25a25
408,1110008P14Rik
409,Naif1
410,Ak1
411,Dpm2
412,Pip5kl1
413,Sh2d3c
414,Stxbp1
415,Slc2a8
416,Lrsam1
417,Nron
418,Rbm18
419,Olfr358
420,Rc3h2
421,Gpr21
422,Rprm
423,Gm13544
424,5330411J11Rik
425,Gca
426,Scn2a1
427,Mir7224
428,B3galt1
429,Phospho2
430,Dync1i2
431,Gpr155
432,Lnp
433,Hnrnpa3
434,Ppp1r1c
435,Nckap1
436,Ypel4
437,Serping1
438,Rtn4rl2
439,P2rx3
440,Lrrc55
441,Olfr994
442,Olfr1082
443,Olfr1152
444,Olfr73
445,Olfr1197
446,Olfr1201
447,Olfr1221
448,Olfr1230
449,Olfr1253
450,Olfr1269
451,Madd
452,Atg13
453,Arhgap1
454,Chrm4
455,Mapk8ip1
456,1700029I15Rik
457,Pex16
458,D930015M05Rik
459,Gm13889
460,Commd9
461,Fjx1
462,Cd59a
463,4930500J02Rik
464,Tcp11l1
465,Olfr1316
466,Lpcat4
467,Emc4
468,4930533B01Rik
469,Scg5
470,Pak6
471,Disp2
472,Bahd1
473,Rhov
474,Chp1
475,Ltk
476,Capn3
477,Ccndbp1
478,Tgm5
479,Adal
480,Ckmt1
481,Map1a
482,Ppip5k1
483,Catsper2
484,Sord
485,Shf
486,Duox1
487,Slc24a5
488,Myef2
489,Secisbp2l
490,Mir3473g
491,Ciao1
492,Ttl
493,Tmc2
494,Ebf4
495,Lzts3
496,Gm14057
497,A730017L22Rik
498,Spef1
499,Cenpb
500,1700037H04Rik
501,Ap5s1
502,5330413P13Rik
503,Cds2
504,Gpcpd1
505,Chgb
506,Snap25
507,Pcsk2os1
508,LOC171588
509,Dzank1
510,Zfp133-ps
511,4930529M08Rik
512,Napb
513,9230104L09Rik
514,Pygb
515,Fkbp1a
516,Snph
517,Tmem74b
518,Scrt2
519,Srxn1
520,Sox12
521,Gm14164
522,Defb20
523,Dusp15
524,Ttll9
525,Pdrg1
526,Commd7
527,Pxmp4
528,Zfp341
529,Map1lc3a
530,Dynlrb1
531,Trp53inp2
532,Ggt7
533,Acss2
534,Mmp24
535,BC029722
536,6430550D23Rik
537,5430405H02Rik
538,Manbal
539,Src
540,Nnat
541,Snhg11
542,Arhgap40
543,9430021M05Rik
544,Fitm2
545,Ttpal
546,Rims4
547,Ywhab
548,Pabpc1l
549,Kcns1
550,Dbndd2
551,Trp53tg5
552,Wfdc3
553,Wfdc10
554,Snx21
555,Zswim1
556,Zswim3
557,Acot8
558,Pltp
559,Mir6364
560,Znfx1
561,B4galt5
562,Spata2
563,Tmem189
564,Ptpn1
565,Mir7004
566,Gm16796
567,4930470P17Rik
568,Cbln4
569,Fam209
570,Rtfdc1
571,Ctcflos
572,Vapb
573,Mir296
574,Gm14393
575,Ppp1r3d
576,Fam217b
577,Lsm14b
578,Ss18l1
579,Mtg2
580,Osbpl2
581,Hrh3
582,Slc17a9
583,Kcnq2
584,Eef1a2
585,Stmn3
586,Lime1
587,Znf512b
588,Uckl1
589,Samd10
590,Oprl1
591,Rsrc1
592,4930593A02Rik
593,Ralyl
594,Tnik
595,3110057O12Rik
596,Gria2
597,Rxfp1
598,Fbxw7
599,Hrnr
600,Ntng1
601,Unc5c
602,Prkacb
603,Sh3glb1
604,Stmn2
605,Gm9833
606,Pag1
607,Tbl1xr1
608,Slc2a2
609,Phc3
610,Lrriq4
611,Kcnmb2
612,Pex5l
613,Ccdc39
614,Atp11b
615,4932438A13Rik
616,Hspa4l
617,Dclk1
618,Selt
619,Vmn2r1
620,Kcnab1
621,Shox2
622,Rarres1
623,Serpini1
624,Fnip2
625,Trim2
626,D930015E06Rik
627,Dclk2
628,Arhgef11
629,Fam63a
630,Pde4dip
631,Fmo5
632,Atp1a1
633,Rsbn1
634,Magi3
635,Lrig2
636,Kcnd3
637,Dram2
638,5330417C22Rik
639,Agl
640,Snx7
641,Fnbp1l
642,Ndst3
643,Ndst4
644,Camk2d
645,Rap1gds1
646,Tspan5
647,Ddah1
648,Ttll7
649,Fam73a
650,Pkia
651,Zc2hc1a
652,Gm6194
653,Tpd52
654,4930539M17Rik
655,Zbtb10
656,Fabp5
657,Hps3
658,Nceh1
659,Eif5a2
660,Slc7a14
661,4930429B21Rik
662,Zmat3
663,Pik3ca
664,Mfn1
665,Gnb4
666,D3Ertd254e
667,Trpc3
668,Ankrd50
669,Gm2011
670,1700034I23Rik
671,Erich6
672,A730090N16Rik
673,Ccnl1
674,Lxn
675,Mfsd1
676,B3galnt1
677,Sis
678,Slitrk3
679,Gm20356
680,Serpini2
681,Map9
682,Dear1
683,Lrrc71
684,Prcc
685,Mef2d
686,Slc25a44
687,Bglap3
688,Mex3a
689,Rit1
690,1500004A13Rik
691,Syt11
692,Dap3
693,Fdps
694,Rusc1
695,Trim46
696,Fam189b
697,Hcn3
698,Gba
699,Dcst1
700,Efna3
701,Shc1
702,Pygo2
703,Pmvk
704,Gm15417
705,Flad1
706,Lenep
707,Ube2q1
708,Chrnb2
709,Adar
710,Atp8b2
711,4933434E20Rik
712,S100a13
713,4930529C04Rik
714,Sprr2d
715,Lce1j
716,Kprp
717,S100a10
718,Tdpoz1
719,Them4
720,Riiad1
721,Oaz3
722,Tdrkh
723,Celf3
724,Lysmd1
725,Prune
726,Sema6c
727,Mllt11
728,Ensa
729,Vps45
730,Sv2a
731,Ankrd34a
732,Itga10
733,Nudt17
734,Prkab2
735,Hsd3b3
736,Gdap2
737,Slc22a15
738,Nhlh2
739,Sike1
740,Nras
741,Bcl2l15
742,St7l
743,Cttnbp2nl
744,Fam212b
745,Chil4
746,Gstm6
747,4933431E20Rik
748,Amigo1
749,Cyb561d1
750,Atxn7l2
751,Sars
752,Wdr47
753,Taf13
754,Tmem167b
755,Fam102b
756,Slc25a54
757,Prmt6
758,Amy1
759,Extl2
760,Gpr88
761,4833424O15Rik
762,Mir760
763,Tram1l1
