,0
0,Thsd7b
1,Nmnat2
2,Cacna1e
3,Pappa2
4,Hs6st1
5,Cep170
6,Frmd4a
7,Syt13
8,Sema6d
9,Nol4l
10,Fam188a
11,Npdc1
12,Ncs1
13,Rprm
14,Fam171b
15,Pdrg1
16,Map1lc3a
17,Trp53inp2
18,Tnik
19,Serpini1
20,Ttll7
21,Pkia
22,Fam102b
23,Ank2
24,Npr2
25,Elavl2
26,Eps15
27,Dctn3
28,Jun
29,Atp6v0b
30,Gm15800
31,Prkar1b
32,Thsd7a
33,Snca
34,Ctnna2
35,Vopp1
36,Add2
37,Atp6v0e2
38,Gabarapl1
39,Slc17a6
40,Ntrk3
41,Gramd1a
42,Synm
43,Ap3b2
44,Map6
45,Apbb1
46,Ric8
47,Gnao1
48,Rab3a
49,Lphn1
50,Elavl3
51,Myo9a
52,Ubash3b
53,Dmxl2
54,Parp6
55,Snap91
56,Scn3b
57,Isl2
58,Tmod2
59,Grm2
60,Dync1li1
61,Cask
62,Plxna3
63,Kcne1l
64,Ap1s2
65,Ank3
66,Tspyl1
67,Tspyl4
68,Prmt2
69,Shc2
70,Palm
71,BC005764
72,Apc2
73,Esyt1
74,Adam19
75,Limk2
76,Atp6v0a1
77,Narf
78,Vamp2
79,Rnasek
80,Jup
81,Nrxn3
82,Lrrn3
83,Crip2
84,2010111I01Rik
85,Stard3nl
86,Cadps
87,Prkcd
88,Stmn4
89,Oxct1
90,Vps28
91,Cacnb3
92,Dcbld2
93,2510009E07Rik
94,Ppp1r2
95,Mapk8ip3
96,Rgmb
97,Ndufv3
98,Atat1
99,Gabbr1
100,A730017C20Rik
101,Synpo
102,Prkg1
103,Sptbn2
104,Sorbs1
105,Pdlim1
106,Sfxn3
