,0
366,Snora41
367,Gpr1
368,Dytn
369,4933402D24Rik
370,Mir1958
371,Gm13749
372,Mir6899
373,Fzd5
374,Crygc
375,D630023F18Rik
376,Cryga
377,Akr1cl
378,Crygd
379,Crygb
380,Cryge
381,Pth2r
382,Crygf
383,Myl1
384,Cps1
385,Apol7d
386,Gm8883
387,4933417E11Rik
388,Ankar
389,Tnp1
390,1700027A15Rik
391,Rufy4
392,Cxcr2
393,Cxcr1
394,Gpbar1
395,Slc11a1
396,Catip
397,Vil1
398,Mir26b
399,Plcd4
400,Prkag3
401,Cyp27a1
402,Wnt6
403,Wnt10a
404,Ihh
405,Cryba2
406,Ccdc108
407,Fev
408,Cdk5r2
409,Mir375
410,Slc23a3
411,A630095N17Rik
412,Tuba4a
413,Glb1l
414,Gm15179
415,Asic4
416,Tmem198
417,Inha
418,Gm17751
419,Mir6343
420,Mir6352
421,Kcne4
422,Scg2
423,Ap1s3
424,Fam124b
425,1700016L21Rik
426,Mir6344
427,Tm4sf20
428,Slc19a3
429,Daw1
430,Ccl20
431,Mir6353
432,Mir5126
433,Fbxo36
434,A530032D15Rik
435,C130026I21Rik
436,Gm7609
437,Sp100
438,Sp140
439,9930111H07Rik
440,Mir8096
441,Gpr55
442,4933407L21Rik
443,2810459M11Rik
444,Spata3
445,Htr2b
446,Snora75
447,Snord82
448,C130036L24Rik
449,B3gnt7
450,Mir3535
451,1700019O17Rik
452,Nmur1
453,Nppc
454,Alppl2
455,Ecel1
456,Akp3
457,Alpi
458,Chrng
459,Prss56
460,Chrnd
461,Kcnj13
462,3110079O15Rik
463,Neu2
464,Scarna6
465,Dnajb3
466,A730008H23Rik
467,Hjurp
468,6430706D22Rik
469,Mroh2a
470,Ugt1a1
471,Spp2
472,Gm19589
473,Glrp1
474,2410088K16Rik
475,1700067G17Rik
476,4933400F21Rik
477,Asb18
478,Gbx2
479,Prlh
480,Mlph
481,Rbm44
482,Ramp1
483,Scly
484,Espnl
485,Fam132b
486,Per2
487,1700020N18Rik
488,Twist2
489,Olfr1416
490,Olfr1414
491,Olfr1415
492,Mir6900
493,Olfr1413
494,Olfr1410
495,Olfr1411
496,Olfr12
497,Olfr1412
498,Otos
499,Ankmy1
500,Mir149
501,Gpr35
502,Aqp12
