,0
0,Zfp595
1,Frk
2,Alx1
3,Slc45a2
4,Dmbx1
5,Otor
6,Emx2
7,Dlx6os1
8,Otx2
9,Tbx22
10,Tmem26
11,Dkk1
12,Tbx15
13,Eps8
14,Osr2
15,Gsc
16,Esr1
17,Lhx8
18,Cryaa
19,AI606473
20,Tyr
21,Ogn
22,Foxl2os
23,Hpgd
24,Emx2os
25,Sim2
26,Dlx5
27,Mc4r
28,Oc90
29,Pitx1
30,3110099E03Rik
31,Aldh1a3
32,Avpr1a
33,Inmt
34,Ngf
35,Ctf1
36,Lhx6
37,G0s2
38,Gata2
39,Kctd12
40,Prss23
41,Dlx3
42,Papss2
43,Rerg
44,Fgf7
45,Il13ra1
46,Tnmd
47,Tekt2
48,Chmp2b
49,Cyr61
50,Gm5127
51,Gxylt2
52,Casp6
53,Olfml3
54,Gata3
55,C730036E19Rik
56,Zcchc5
57,Snhg18
58,Lypd6b
59,Dkk2
60,Myl9
61,Prrx2
62,Trim34a
63,Mr1
64,Pabpc4l
65,Calhm2
66,Rilpl2
67,Zfp944
68,Prrg1
69,Dct
70,Tcf7l2
71,Il1rap
72,ERCC-00157
73,Foxd2
74,Chst14
75,Emp2
76,Pde7b
77,ERCC-00051
78,Ldlrad4
79,Nfatc1
80,ERCC-00078
81,Mtmr11
82,Chd3os
83,Aass
84,Fam120aos
85,Tlr2
86,ERCC-00077
87,ERCC-00096
88,ERCC-00009
89,ERCC-00112
90,ERCC-00084
91,Hmgn3
92,ERCC-00092
93,Ly96
94,ERCC-00034
95,Ackr3
96,Rftn2
97,Crot
98,ERCC-00111
99,ERCC-00053
100,ERCC-00108
101,ERCC-00076
102,Lhfpl2
103,AW549542
104,Zfp239
105,ERCC-00043
106,Twsg1
107,Lmcd1
108,Zfp708
109,Stxbp3a
110,Tlcd2
111,ERCC-00160
112,Hs3st6
113,Slc2a4
114,Ifit2
115,Extl1
116,Acss3
117,Lekr1
118,ERCC-00060
119,ERCC-00022
120,Zfp942
121,Cox4i2
122,ERCC-00131
123,Rgs2
124,ERCC-00145
125,ERCC-00136
126,Zbed3
127,ERCC-00046
128,Kctd1
129,ERCC-00130
130,Enpep
131,ERCC-00171
132,ERCC-00170
133,Rhod
134,Rasl11b
135,Sorbs3
136,Wbp5
137,ERCC-00062
138,ERCC-00150
139,ERCC-00071
140,Tcf4
141,ERCC-00163
142,Spin2c
143,Ppt1
144,Cald1
145,ERCC-00144
146,Tmem98
147,Ephb3
148,Nnmt
149,Xxylt1
150,Nrk
151,Zfp873
152,L3hypdh
153,ERCC-00095
154,ERCC-00079
155,Lima1
156,Ccdc102a
157,Spin4
158,Fbln2
159,Hpse
160,Serhl
161,Rasef
162,B4galt1
163,Spry1
164,Arl14ep
165,Pigx
166,Ddx50
167,Lmo7
168,Mdfic
169,Mtcp1
170,Sp3
171,Zbtb25
172,Cstb
173,Eif2ak2
174,Sec61g
175,Hgf
176,Rspo3
177,Rbm48
178,Vamp8
179,Igbp1
180,Rdm1
181,Tmem165
182,Mxd3
183,Impa2
184,Fundc1
185,Zfp947
186,Selenbp1
187,Efna4
188,Msl3
189,Fgf10
190,Bmpr1a
191,Tm9sf2
192,Magt1
193,Grm7
194,Bet1
195,Ostc
196,Phactr2
197,Mterfd1
198,Irx1
199,Ptges
200,Jpx
201,4921524J17Rik
202,Hs3st3a1
203,Kdelc2
204,ERCC-00148
205,2810002D19Rik
206,Gimap9
207,Avpi1
208,Dhrs4
209,Proser3
210,Tmem68
211,Tmem101
212,Arsk
213,Trip6
214,Fundc2
215,Rnf113a2
216,Ppfibp2
217,Bloc1s4
