ERCC-00057
Snord33
Mir5104
Rab36
Wfdc2
Sept14
Hsf5
Ccl11
4933416C03Rik
Gm14326
Mir124a-3
Cdr1
Pdgfd
Ifna16
Defb44-ps
2610206C17Rik
Rab19
Mir7018
Olfr1286
B430319G15Rik
Cebpe
4930426L09Rik
Speer6-ps1
Erich6
Dpy19l2
Gm20172
Cd40lg
Zfp418
Pxt1
5530400C23Rik
Mir3535
Adipoq
Gm8579
Olfr860
AI504432
Ccdc7
Gm14718
Slc26a4
Six3os1
Hvcn1
Prl3c1
BC089597
Mirlet7a-1
Ccdc106
4732456N10Rik
9530036O11Rik
Olfr1048
Slc24a1
Olfr1445
Olfr2
Mir3470a
Col17a1
Acvrl1
Gm13547
Tfap2e
Pax2
Gm11127
Mir134
Txndc2
Olfr1510
4930449E18Rik
S1pr5
Golt1a
Gm17296
Tmem86a
Il1f9
Olfr1393
1700120G07Rik
Tcl1b1
4930407I10Rik
2610100L16Rik
Vmn1r170
Gm10440
Olfr229
4930415O20Rik
Plaur
Pinc
Zfpm1
Olfr655
Ssxb10
Catip
Zfp791
Cacna1s
Eif3j2
Gm14501
BC049762
Proca1
Gm10007
Gm10436
Gm1604b.1
Nyap1
Mir466b-3.1
Olfr1234
Mir6369
Penk
Mir1291
Zbtb42
Raet1e
Cav1
Olfr1270
Il23a
4933405D12Rik
Pnpla7
Mir7034
Hist2h2be
Tpsab1
Ms4a7
Clcf1
Gm14479
Olfr1461
Mamdc2
9130015L21Rik
Tmem143
Olfr826
Fasl
Ano4
Atoh7
Gm10058+Gm10096+Gm10147+Gm10230+Gm10486+Gm10487+Gm10488+Gm14632+Gm14819+Gm4836.5
Slc16a8
Scml4
Gm13807
Gm16548
Syt15
9230112D13Rik
9130227L01Rik
Mir290b
B3gnt7
Casq2
Dapp1
H2-Ob
Sectm1a
Klk1b7-ps
Rpl11
Vmn1r33
Abca6
Olfr1469
Olfr1199
Havcr1
Chrdl2
Mir451a+Mir451b
Gpr15
Map7
Vmn2r116
Ang3
Gm6194
Depdc7
Zfp389
4933436H12Rik
Olfr272
Vmn1r122
Nhs
Mup2.3
3110009F21Rik
Gm10921.1
Gm4846
D130020L05Rik
Mir144
Xkr6
5730409E04Rik
Apobec2
Asah2
Gm9958
Wwc1
Adam18
