,0
0,Bmpr2
1,Thsd7b
2,Rnpep
3,Camsap2
4,Nmnat2
5,Akt3
6,Arfgef1
7,Ncoa2
8,Slco5a1
9,Plekhb2
10,Inpp4a
11,Map4k4
12,Gls
13,Raph1
14,Acadl
15,Serpine2
16,Dner
17,Pid1
18,Agap1
19,Tmem163
20,Nfasc
21,Tmcc2
22,Plekha6
23,Nav1
24,Cacna1e
25,Xpr1
26,Astn1
27,Pappa2
28,Cnst
29,Mark1
30,Rab3gap2
31,Vash2
32,Rb1cc1
33,Fam135a
34,Hs6st1
35,Mreg
36,Fam134a
37,Cnppd1
38,Agfg1
39,Myeov2
40,Cyb5r1
41,Rabif
42,Arl8a
43,Tmem9
44,Kif21b
45,Trove2
46,Fam78b
47,Hsd17b7
48,Uap1
49,Ufc1
50,Cadm3
51,Celf2
52,Frmd4a
53,Grb14
54,Slc25a12
55,Slc1a2
56,Pcsk2
57,Cacna1b
58,Acvr2a
59,Scn3a
60,Scn7a
61,Chn1
62,Sestd1
63,Itga4
64,1110051M20Rik
65,Syt13
66,Ldlrad3
67,Mpped2
68,Ttbk2
69,Sema6d
70,4930402H24Rik
71,Ptpra
72,Abhd12
73,Bcl2l1
74,Nol4l
75,Dlgap4
76,Soga1
77,Gdap1l1
78,Prex1
79,Atp9a
80,Myt1
81,Fam188a
82,Arhgap21
83,Npdc1
84,Ralgds
85,Ncs1
86,Prdm12
87,Dpm2
88,Rc3h2
89,Rprm
90,Lnp
91,Neurod1
92,Fam171b
93,Arhgap1
94,Mapk8ip1
95,Emc4
96,Disp2
97,Map1a
98,B2m
99,Myef2
100,Secisbp2l
101,1700037H04Rik
102,Prnp
103,Cds2
104,Gpcpd1
105,Napb
106,Pygb
107,Pdrg1
108,Map1lc3a
109,Src
110,Samd10
111,Rsrc1
112,Tnik
113,Fbxw7
114,Unc5c
115,Sec62
116,Kcnmb2
117,4932438A13Rik
118,Serpini1
119,Fam63a
120,Lrig2
121,Dram2
122,Ndst3
123,Ppp3ca
124,Tspan5
125,Ddah1
126,Ttll7
127,Pkia
128,Zc2hc1a
129,Tpd52
130,Fabp5
131,Gnb4
132,Postn
133,Lxn
134,B3galnt1
135,Rit1
136,Fdps
137,Rusc1
138,Fam189b
139,Shc1
140,Pmvk
141,Chrnb2
142,Nhlh2
143,Cttnbp2nl
144,Amigo1
145,Wdr47
146,Tmem167b
147,Fam102b
148,Tram1l1
149,Bach2
150,E130309F12Rik
151,Ssbp3
152,Cntfr
153,Unc13b
154,Rusc2
155,Npr2
156,Ptpn3
157,Elavl2
158,Lrp8
159,Zyg11b
160,Eps15
161,Pik3r3
162,Eri3
163,Nkain1
164,Runx3
165,Draxin
166,Pik3cd
167,Pdp1
168,Faxc
169,Pnrc1
170,Akirin2
171,3110043O21Rik
172,Dctn3
173,Creb3
174,Glipr2
175,Coro2a
176,Atp6v1g1
177,Trim32
178,Tle1
179,Jun
180,Atp6v0b
181,Kdm4a
182,Heyl
183,Ago1
184,Trim62
185,Sh3bgrl3
186,Stmn1
187,Tmem57
188,Tmem50a
189,Lypla2
190,Pink1
191,Atp13a2
192,Mfn2
193,Clstn1
194,Tprgl
195,Acap3
196,Mmd2
197,Cdk14
198,Pclo
199,Sdk1
200,Cyth3
201,Adam22
202,Cacna2d1
203,Srpk2
204,Prkag2
205,Tbc1d14
206,Tbc1d19
207,Apbb2
208,Atp8a1
209,Fryl
210,Mapk10
211,Srrm4
212,Gm15800
213,Atxn2
214,Ncor2
215,Col26a1
216,Prkar1b
217,Fam20c
218,Mtus2
219,Fry
220,Cdk5
221,Lrpap1
222,Smim14
