,0
0,Dpp10
1,Nms
2,Olfr1415
3,Olfr1411
4,Olfr1412
5,Mir1231
6,Lcn6
7,Glt6d1
8,Sardh
9,Olfr353
10,Olfr355
11,Olfr357
12,Olfr1014
13,Olfr1015
14,Olfr1056
15,Olfr1086
16,Olfr1106
17,Olfr1133
18,Olfr1200
19,Olfr1257
20,Olfr142
21,Tgm5
22,Prn
23,Cst13
24,4930591A17Rik
25,Gm1527
26,Sucnr1
27,Lce1f
28,A630077J23Rik
29,Olfr29-ps1
30,Olfr272
31,Olfr275
32,Gm13277
33,Gm12633
34,Izumo3
35,Gm12794
36,Cyp4x1
37,1700013G24Rik
38,Rnf186
39,Ctrc
40,Gm436
41,Tmed11
42,Card11
43,Gm3409
44,Speer4c
45,Asic3
46,Ucn
47,4930405L22Rik
48,Ugt2a2
49,1700063O14Rik
50,A430089I19Rik
51,Vmn2r16
52,1700034G24Rik
53,Wbscr28
54,Cyp3a25
55,2210019I11Rik
56,Pip
57,Sva
58,Hoxa13
59,Vmn1r38
60,Foxi3
61,Gkn1
62,Vmn1r44
63,Vmn1r49
64,Mir7661
65,Mir8113
66,Gm156
67,Gm5886
68,Gdpd4
69,Lair1
70,Vmn1r83
71,Sult2a3
72,Apoc4
73,Apoc2
74,Cyp2a4
75,Gm6537
76,Pth2
77,Myod1
78,Gm9999
79,Olfr303
80,Olfr298
81,Olfr78
82,Olfr575
83,Olfr578
84,Olfr576
85,Olfr582
86,Olfr629
87,Olfr66
88,Olfr632
89,Olfr631
90,Olfr643
91,Olfr648
92,Olfr668
93,Olfr669
94,Olfr675
95,Olfr690
96,Olfr713
97,Olfr6
98,Olfr481
99,Olfr491
100,Calcb
101,Umod
102,4930563M20Rik
103,Defb1
104,Olfr372
105,Olfr851
106,Olfr853
107,Olfr901
108,Olfr930
109,Olfr947-ps1
110,Olfr986
111,Omt2a
112,Ssxb2
113,Gm5132
114,Actrt1
115,Mir106a
116,Gpr101
117,Fam47c
118,Taar6
119,Taar4
120,Taar8b
121,Gp49a
122,4930545H06Rik
123,Krtap12-1
124,Gm3285
125,Olfr790
126,Olfr811
127,Olfr818
128,Olfr1394
129,Olfr1389
130,Olfr1384
131,Fbxo39
132,Olfr395
133,Olfr392
134,Olfr402
135,Mir3971
136,Ccl4
137,Dlx4
138,Krtap31-1
139,Cd300c
140,Msgn1
141,Gm2042.1
142,Serpina3a
143,Mir494
144,Olfr1364
145,Vmn1r204
146,Slc17a4
147,Prl7b1
148,Tpbpa
149,Cts8-ps
150,Gm5460
151,Phf11a
152,Gm16294
153,Lypd2
154,Cyp2d37-ps
155,5430421N21Rik
156,Krt74
157,Ropn1
158,Krtap6-5
159,Vmn2r124
160,Vmn1r237
161,Olfr63
162,Gm7030
163,Olfr108
164,Esp31
165,Gm17830
166,Pcdhb1
167,Pcdhb9
168,Pou4f3
169,Mir143
170,Dynap
171,Olfr1442
172,Olfr1496
173,Mir101b
