,0
388,Mfsd8
389,Pcdhgb7
390,Bend5
391,Tbc1d23
392,Rasl12
393,Insig2
394,Mettl23
395,Ppm1k
396,Cnot8
397,Wasl
398,Gm4285
399,Lgmn
400,Fam3a
401,Zfp112
402,Nck2
403,Sned1
404,Efhc1
405,Glipr2
406,Aff4
407,Yipf5
408,Sepn1
409,S100a11
410,Ntn5
411,Alkbh7
412,Adprm
413,Calcoco1
414,Htra1
415,Akr1e1
416,Pofut2
417,Kat6b
418,Syne4
419,Mff
420,Mageh1
421,Itm2c
422,Pex11b
423,Cdkl3
424,Sfxn4
425,Efna5
426,Uba5
427,Tpra1
428,Klhl22
429,Snx22
430,Irf2bp2
431,C1galt1c1
432,Mfap1b
433,Selm
434,Rfk
435,Nradd
436,Ube2b
437,C030046E11Rik
438,Irak4
439,Acadm
440,Kcnip4
441,Sstr1
442,4933411K20Rik
443,Btd
444,Zfp383
445,Senp7
446,Ndrg3
447,Blvra
448,Xrcc4
449,E2f6
450,Crem
451,Atg10
452,Pex3
453,Wdr8
454,Ephb6
455,B2m
456,Glb1
457,Ist1
458,Aip
459,Bcl11b
460,Col6a2
461,Mocs2
462,Negr1
463,Adamts2
464,Rchy1
465,Ift57
466,Gstm2
467,Tbl1xr1
468,Rbm18
469,Pdk2
470,Crebzf
471,Ccdc66
472,Sirt4
473,Hacl1
474,Irak3
475,Hdac8
476,Pitpnc1
477,Prkacb
478,Axl
479,Capzb
480,Ugp2
481,Sh3bgrl
482,Leprot
483,Tbx2
484,Jmjd7
485,Rnf146
486,E530011L22Rik
487,Tfcp2
488,Pcdhb20
489,Hipk3
490,Slain2
491,Pcmtd2
492,Pcdhga1
493,Zfp68
494,Cdc42
495,Fbxo33
496,Ppp2r5c
497,Ppp2r3a
498,Zfp810
499,Fhit
500,Wdr60
501,Usp27x
502,Nfat5
503,Ubxn11
504,Fam76b
505,C8g
506,Foxn3
507,Tial1
508,Sdr39u1
509,Doc2b
510,Dlg5
511,Tspyl1
512,Zfp654
513,Slc25a36
514,Zfp827
515,Rbm12b1
516,1700029J07Rik
517,Thbd
518,Fnip1
519,Slc25a29
520,Efna2
521,Ttc38
522,Ccdc126
523,Lgr6
524,9930021J03Rik
525,Tceal3
526,Btf3l4
527,Gab1
528,Ppp1r3b
529,Mcu
530,Rbpj
531,Zbtb37
532,Zkscan14
533,Cpne3
534,Acot13
535,Zfp458
536,Cryzl1
537,Hck
538,Snx13
539,1700028K03Rik
540,Kctd15
541,Exoc7
542,Tceal1
543,Zfp943
544,Atl3
545,Ryk
546,Btbd10
547,Tmem176b
548,Brd9
549,Ctps2
550,Ssbp2
551,Rbm5
552,Zfp148
553,Tspan31
554,Nudt22
555,Cebpzos
556,Creb3l1
557,Pyroxd1
558,Kcnj8
559,Zfp677
560,Auts2
561,Cd1d1
562,1700113A16Rik
563,Zdhhc1
564,Tmem64
565,Abcd3
566,Sesn1
567,Kdm1b
568,Pnpla8
569,Epc2
570,C87436
571,Pcdhb16
572,Trip4
573,Cox20
574,Zfp85
575,Rad51d
576,Tmem176a
577,Cntn3
578,Ccdc30
579,2610044O15Rik8
580,Zfp386
581,Micu2
582,Zfp963
583,Ak3
584,Adck3
585,Ifnar1
586,1110034G24Rik
587,Sparc
588,Cklf
589,Lamtor3
590,Vsig10l
591,N4bp2l2
592,Cyp4f16
593,Ttc14
594,Zfp707
595,Elk1
596,Elmod3
597,Zfp51
598,Oxr1
599,Cdc42ep3
600,Tubd1
601,Zfp780b
602,Fam172a
603,Spopl
604,Ccdc88a
605,Plscr4
606,Tax1bp1
607,Zscan18
608,Ccdc71l
609,Il6st
610,Siah1a
611,Lect1
612,Rasa2
613,Lama2
614,Rab27b
615,1700025G04Rik
616,Msrb2
617,Slco2a1
618,Clu
619,Tmod3
620,Hic1
621,Crk
622,Irf3
623,Zfp558
624,Supt7l
625,Snapc1
626,G6pdx
627,Ttc39b
628,Lipo1
629,Gcdh
630,Cers5
631,Gnpda2
632,Fam184a
633,Zfr
634,Tsc22d4
635,Cln3
636,Cttnbp2nl
637,Rela
638,Zfp788
639,Nucb1
640,Alox5ap
641,Tmem126b
642,Egr1
643,Setd4
644,Bcl11a
645,1600012H06Rik
646,Mboat2
647,Hp1bp3
648,Zfp174
649,Zfp763
650,Alkbh3
651,Trio
652,Mier1
653,Neurl2
654,Veph1
655,9030612E09Rik
656,Stbd1
657,Klf12
658,Arf4
659,Pik3r1
660,Rab18
661,Accs
662,B430319G15Rik
663,Scamp2
664,Suco
665,2810001G20Rik
666,Vash2
667,Smarce1
668,Pex11g
669,Ahnak
670,Paqr8
671,Emp3
672,Rrnad1
673,Klhl42
674,Ier3
675,Rbp1
676,Tenm3
677,Kdsr
678,Zfp128
679,Tmtc4
680,Atxn7l1
681,Rras
682,Ldhb
683,Dnajc4
684,Lrrc75a
685,Reck
686,Hadha
687,Arl15
688,Rnh1
689,Itgb1
690,Ppp4r1l-ps
691,Slc39a6
692,Zfand6
693,Tapt1
694,Naa30
695,Nlrx1
696,Eci1
697,Hint3
698,Osbpl5
699,Cnksr2
700,Mir3064
701,Gpr180
702,Far1
703,Ccdc127
704,Ubc
705,Tulp3
706,Ube2r2
707,Sec63
708,Fzd8
709,Synpo
710,Fbxl12os
711,Gm15706
712,2700046G09Rik
713,Hif3a
714,Orai3
715,Zfp263
716,Mthfs
717,A830080D01Rik
718,Zfhx3
719,Rcn3
720,Diap2
721,Furin
722,2610507I01Rik
723,Camk1d
724,Ddx59
725,Tagap1
726,Gpbp1l1
727,Vasn
728,Zbtb41
729,Snta1
730,Rprd2
731,Pgap3
732,Pten
733,Fam214a
734,Ift88
735,Trip11
736,Gprc5c
737,Hs2st1
738,Rab36
739,Gm16386
740,AA987161
741,Ttc33
742,C1qtnf4
743,Dpm3
744,Nipal2
745,Col16a1
746,Zfp362
747,Pdxdc1
748,Vstm2b
749,Hs3st5
750,Trim16
751,Xkr8
752,S100a6
753,Taf7
754,Lca5l
755,Arhgap1
756,Iqcc
757,Atrx
758,Nr2f2
759,Cnot6l
760,2810029C07Rik
761,2410002F23Rik
762,Kctd2
763,Kif26b
764,Ranbp9
765,B230219D22Rik
766,Hsd3b7
767,Zfp715
768,Tapbp
769,Tmed10
770,Pdlim4
771,Cyp1b1
772,Snapc3
773,Phka1
774,Lyplal1
775,Zfp933
776,Ddx17
777,Dnajb14
778,Csad
779,Gm4532
780,Cygb
781,Ermard
782,Msl1
783,Prokr2
784,Metrnl
785,Thoc2
786,Got1l1
787,A830018L16Rik
788,Slc18b1
789,Arih1
790,Far2
791,Scn2b
792,Wrnip1
793,Rpusd1
794,Scrg1
795,4932416H05Rik
796,Magee2
797,Cbx8
798,Acbd4
799,Btg1
800,Grin3a
801,Pcdhb7
802,Lrrc20
803,Auh
804,Gm5577
805,Prrg2
806,Armc2
807,Nox4
808,Pcdhga6
809,Col26a1
810,Nab2
811,Mtx3
812,Lemd3
813,Pias2
814,Tpm2
815,Fbxw2
816,Tm7sf3
817,Serpine2
818,Insr
819,Ext2
820,Cntln
821,Dcxr
822,Anapc4
823,Cyp2d22
824,Acot2
825,Alg12
826,Fhl2
827,Ado
828,Dbt
829,Zfp85os
830,Slu7
831,Ccdc47
832,Ube2g1
833,Ggcx
834,Nme5
835,Uvssa
836,Stau1
837,Myadm
838,BC003331
839,Zfp759
840,Zdhhc4
841,Lnx1
842,Tsc22d2
843,Slc4a3
844,1700030K09Rik
845,Zfand1
